Student_ID,Name,Hours_Studied,Attendance,Assignments_Completed,Previous_Marks,Final_Marks
101,Alice,2,78,6,55,58
102,Bob,4,85,8,62,68
103,Charlie,5,88,9,70,74
104,David,3,80,7,60,63
105,Eva,6,92,10,78,84
106,Frank,1,70,5,48,50
107,Grace,7,95,10,82,90
108,Henry,4,84,8,65,69
109,Ivy,8,98,10,90,95
110,Jack,2,75,6,54,57
111,Kate,5,89,9,72,77
112,Liam,6,91,10,80,86
113,Mia,3,82,7,61,65
114,Noah,4,86,8,67,71
115,Olivia,7,94,10,85,91
116,Peter,2,76,6,56,59
117,Queen,8,97,10,91,96
118,Ryan,5,90,9,74,80
119,Sophia,6,93,10,79,85
120,Tom,1,68,4,45,47
121,Uma,7,96,10,87,92
122,Victor,3,81,7,60,64
123,Wendy,4,87,8,69,73
124,Xavier,5,90,9,75,81
125,Yara,6,92,10,81,87
126,Zack,2,74,5,53,56
127,Anita,8,99,10,93,98
128,Brian,3,79,7,58,61
129,Catherine,5,88,9,71,76
130,Daniel,4,83,8,66,70
